DATE,STATE,HIGH,LOW,AVG,T_YEAR
03/22/2020,Alabama,11.0,6.166666666666667,7.922222222222222,6.6
03/23/2020,Alabama,13.833333333333334,1.4,7.688888888888889,1.4
03/24/2020,Alabama,4.5,0.8333333333333334,2.111111111111111,1.0
03/26/2020,Alabama,17.0,2.0,8.777777777777777,2.0
03/27/2020,Alabama,6.833333333333333,1.0,3.0555555555555554,1.0
03/28/2020,Alabama,5.833333333333333,1.0,3.0555555555555554,1.0
03/29/2020,Alabama,8.833333333333334,3.0,5.166666666666667,3.0
03/30/2020,Alabama,11.166666666666666,2.8333333333333335,7.0,7.0
03/31/2020,Alabama,10.2,2.8333333333333335,5.677777777777777,10.2
04/01/2020,Alabama,12.5,2.8,6.155555555555556,2.8
04/02/2020,Alabama,7.2,0.3333333333333333,4.844444444444444,7.2
04/03/2020,Alabama,18.4,1.0,10.733333333333334,12.8
04/04/2020,Alabama,11.833333333333334,2.6,7.677777777777777,8.6
04/05/2020,Alabama,14.5,3.6,7.3,3.8
04/06/2020,Alabama,6.166666666666667,2.4,3.744444444444445,2.4
04/07/2020,Alabama,5.0,0.4,2.3000000000000003,0.4
04/08/2020,Alabama,9.5,0.2,4.011111111111111,0.2
04/09/2020,Alabama,5.5,2.2,3.8444444444444446,2.2
04/10/2020,Alabama,15.5,4.2,9.1,4.2
04/11/2020,Alabama,8.666666666666666,4.0,6.688888888888889,7.4
04/12/2020,Alabama,6.6,4.0,5.2,6.6
04/13/2020,Alabama,9.6,0.6,4.011111111111111,0.6
04/14/2020,Alabama,6.2,1.6666666666666667,3.3555555555555556,2.2
04/16/2020,Alabama,6.333333333333333,3.0,4.844444444444444,5.2
04/17/2020,Alabama,6.166666666666667,2.0,3.522222222222222,2.4
04/18/2020,Alabama,2.3333333333333335,1.8,2.1555555555555554,1.8
04/19/2020,Alabama,12.5,2.0,7.333333333333333,2.0
04/20/2020,Alabama,10.166666666666666,0.6,5.644444444444445,0.6
04/21/2020,Alabama,20.333333333333332,1.0,10.166666666666666,1.0
04/22/2020,Alabama,16.8,0.3333333333333333,7.711111111111111,16.8
04/23/2020,Alabama,6.5,1.6,4.7,1.6
04/24/2020,Alabama,9.666666666666666,1.2,5.955555555555556,1.2
04/25/2020,Alabama,8.5,1.0,3.555555555555556,1.0
04/26/2020,Alabama,6.666666666666667,0.0,4.055555555555556,0.0
04/27/2020,Alabama,5.666666666666667,4.8,5.322222222222222,4.8
04/28/2020,Alabama,6.333333333333333,4.0,4.977777777777778,4.6
04/29/2020,Alabama,3.5,0.4,2.2444444444444445,0.4
04/30/2020,Alabama,6.166666666666667,0.2,3.1222222222222222,0.2
05/01/2020,Alabama,2.8,1.2,2.066666666666667,2.2
05/02/2020,Alabama,2.2,1.2,1.6000000000000003,2.2
05/03/2020,Alabama,7.5,0.6,3.633333333333333,0.6
05/04/2020,Alabama,4.4,0.6,2.6,0.6
05/05/2020,Alabama,10.0,0.5,5.5,0.5
05/07/2020,Alabama,13.666666666666666,0.8,8.28888888888889,0.8
05/08/2020,Alabama,15.6,1.8,6.8,1.8
05/09/2020,Alabama,11.4,1.1666666666666667,5.438888888888889,3.75
05/10/2020,Alabama,7.25,2.3333333333333335,5.327777777777778,7.25
05/11/2020,Alabama,6.6,0.8333333333333334,3.3111111111111113,2.5
05/12/2020,Alabama,9.2,2.6666666666666665,6.888888888888888,9.2
05/13/2020,Alabama,16.2,2.8,8.444444444444445,2.8
05/14/2020,Alabama,14.8,1.6,10.022222222222222,1.6
05/15/2020,Alabama,13.166666666666666,1.0,6.655555555555555,1.0
05/16/2020,Alabama,6.666666666666667,5.0,5.622222222222223,5.2
05/17/2020,Alabama,6.833333333333333,1.2,4.066666666666666,1.2
05/18/2020,Alabama,1.6666666666666667,0.8,1.2111111111111112,0.8
05/19/2020,Alabama,2.8333333333333335,0.6,1.7555555555555555,0.6
05/20/2020,Alabama,13.166666666666666,1.6,6.811111111111111,1.6
05/21/2020,Alabama,3.0,0.5,1.5666666666666667,1.2
05/22/2020,Alabama,3.5,1.3333333333333333,2.211111111111111,1.8
05/23/2020,Alabama,5.0,0.6,2.8666666666666667,0.6
05/24/2020,Alabama,8.2,3.8333333333333335,6.144444444444445,6.4
05/25/2020,Alabama,7.6,1.8,4.855555555555555,7.6
05/26/2020,Alabama,11.0,0.2,3.8666666666666667,0.2
05/27/2020,Alabama,4.333333333333333,0.4,2.6444444444444444,0.4
05/28/2020,Alabama,2.6,0.6,1.288888888888889,0.6
05/29/2020,Alabama,2.6666666666666665,0.25,1.5055555555555555,1.6
05/30/2020,Alabama,3.3333333333333335,0.2,1.5111111111111113,1.0
05/31/2020,Alabama,4.666666666666667,0.2,2.0222222222222226,1.2
06/01/2020,Alabama,12.2,4.333333333333333,7.177777777777777,12.2
06/02/2020,Alabama,10.333333333333334,0.6,5.577777777777778,0.6
06/03/2020,Alabama,23.333333333333332,0.6,9.577777777777778,0.6
06/04/2020,Alabama,13.333333333333334,0.8,8.433333333333334,0.8
06/05/2020,Alabama,17.25,0.8,6.73888888888889,0.8
06/06/2020,Alabama,12.2,0.4,5.066666666666666,2.6
06/07/2020,Alabama,22.8,0.4,13.816666666666668,18.25
06/08/2020,Alabama,9.666666666666666,3.0,5.288888888888889,3.0
06/09/2020,Alabama,6.0,0.6666666666666666,2.8333333333333335,0.6666666666666666
06/11/2020,Alabama,3.3333333333333335,1.0,1.9444444444444446,1.0
06/12/2020,Alabama,8.666666666666666,1.6,4.588888888888889,1.6
06/13/2020,Alabama,5.8,3.5,4.655555555555556,5.8
06/14/2020,Alabama,19.0,2.6666666666666665,9.422222222222222,6.6
06/15/2020,Alabama,4.0,2.0,2.733333333333333,2.2
06/16/2020,Alabama,6.0,3.1666666666666665,4.666666666666666,6.0
06/17/2020,Alabama,3.8333333333333335,2.2,3.0666666666666664,2.2
06/18/2020,Alabama,6.0,1.0,4.0,5.0
06/19/2020,Alabama,11.0,1.0,7.0,11.0
06/20/2020,Alabama,17.25,1.6,7.672222222222222,1.6
06/21/2020,Alabama,1.6,0.2,0.8666666666666667,0.2
06/22/2020,Alabama,1.2,0.4,0.9333333333333332,0.4
06/23/2020,Alabama,3.8,0.0,1.3333333333333333,0.2
06/24/2020,Alabama,2.0,0.2,1.0,0.2
06/25/2020,Alabama,2.6,0.2,1.6000000000000003,0.2
06/26/2020,Alabama,5.333333333333333,1.0,3.6444444444444444,1.0
06/27/2020,Alabama,4.833333333333333,1.0,2.477777777777778,1.0
06/28/2020,Alabama,5.25,0.4,3.0500000000000003,0.4
06/29/2020,Alabama,5.4,0.2,2.6444444444444444,0.2
06/30/2020,Alabama,2.8333333333333335,0.4,1.4111111111111112,0.4
07/01/2020,Alabama,10.4,0.5,4.033333333333333,1.2
07/02/2020,Alabama,3.6,0.2,1.3333333333333333,0.2
07/03/2020,Alabama,3.6666666666666665,1.75,2.8055555555555554,3.0
07/04/2020,Alabama,3.8333333333333335,0.6,2.3111111111111113,0.6
07/05/2020,Alabama,8.6,2.8,4.7444444444444445,2.8
07/06/2020,Alabama,10.6,0.8,4.577777777777778,0.8
07/07/2020,Alabama,8.333333333333334,0.2,3.011111111111111,0.2
07/08/2020,Alabama,4.4,0.4,3.0444444444444443,0.4
07/09/2020,Alabama,0.8,0.2,0.4444444444444444,0.8
07/10/2020,Alabama,15.166666666666666,0.25,5.861111111111111,0.25
07/11/2020,Alabama,4.833333333333333,0.25,2.3055555555555554,0.25
07/12/2020,Alabama,2.1666666666666665,0.4,1.3888888888888886,0.4
07/13/2020,Alabama,1.2,0.4,0.7555555555555555,0.4
07/14/2020,Alabama,3.8,0.2,1.888888888888889,3.8
07/15/2020,Alabama,2.2,2.0,2.1333333333333333,2.2
07/16/2020,Alabama,1.3333333333333333,0.16666666666666666,0.6999999999999998,0.6
07/17/2020,Alabama,5.0,2.8,3.711111111111111,5.0
07/18/2020,Alabama,1.8333333333333333,1.0,1.3444444444444443,1.2
07/19/2020,Alabama,7.333333333333333,1.2,3.3777777777777778,1.6
07/20/2020,Alabama,1.0,0.6,0.7999999999999999,0.8
07/21/2020,Alabama,14.4,0.2,5.533333333333334,0.2
07/22/2020,Alabama,8.666666666666666,0.4,3.633333333333333,0.4
07/23/2020,Alabama,8.333333333333334,1.1666666666666667,3.766666666666667,1.8
07/24/2020,Alabama,10.333333333333334,0.25,5.6944444444444455,0.25
07/25/2020,Alabama,15.5,1.4,7.9111111111111105,1.4
07/26/2020,Alabama,16.666666666666668,1.4,8.688888888888888,1.4
07/27/2020,Alabama,12.333333333333334,1.6,6.644444444444445,1.6
07/28/2020,Alabama,11.166666666666666,0.2,5.233333333333333,0.2
07/29/2020,Alabama,10.333333333333334,0.2,4.677777777777778,0.2
07/30/2020,Alabama,7.5,0.2,4.344444444444444,0.2
07/31/2020,Alabama,4.666666666666667,0.2,2.4000000000000004,0.2
08/01/2020,Alabama,2.5,0.2,1.2333333333333334,0.2
08/02/2020,Alabama,2.8333333333333335,0.4,1.6777777777777778,0.4
08/03/2020,Alabama,3.0,0.4,1.2666666666666666,0.4
08/04/2020,Alabama,7.8,0.4,3.622222222222222,0.4
08/05/2020,Alabama,3.6,2.2,2.766666666666667,2.2
08/06/2020,Alabama,3.6666666666666665,1.0,1.9555555555555557,1.2
08/07/2020,Alabama,4.6,2.6,3.6,2.6
08/08/2020,Alabama,2.3333333333333335,1.0,1.777777777777778,2.0
08/09/2020,Alabama,1.8333333333333333,0.25,1.1611111111111112,0.25
08/10/2020,Alabama,4.0,0.5,2.2333333333333334,0.5
08/11/2020,Alabama,4.6,0.2,1.7333333333333332,0.2
08/12/2020,Alabama,4.2,0.0,2.566666666666667,0.0
08/13/2020,Alabama,4.8,1.0,2.3777777777777778,1.0
08/14/2020,Alabama,5.8,0.0,2.183333333333333,0.0
08/15/2020,Alabama,2.5,0.0,1.3,0.0
08/16/2020,Alabama,10.166666666666666,0.2,3.7888888888888883,1.0
08/17/2020,Alabama,23.333333333333332,0.0,8.11111111111111,1.0
08/18/2020,Alabama,6.5,2.0,4.566666666666666,5.2
08/19/2020,Alabama,2.8333333333333335,0.4,1.277777777777778,0.4
08/20/2020,Alabama,4.6,1.6,3.233333333333333,4.6
08/21/2020,Alabama,7.25,0.0,2.6833333333333336,0.0
08/22/2020,Alabama,3.8,1.3333333333333333,2.2444444444444445,1.6
08/23/2020,Alabama,13.166666666666666,2.1666666666666665,5.977777777777778,2.6
08/24/2020,Alabama,5.166666666666667,0.0,2.111111111111111,0.0
08/25/2020,Alabama,4.5,0.2,2.288888888888889,0.2
08/26/2020,Alabama,3.2,0.16666666666666666,2.066666666666667,3.2
08/27/2020,Alabama,4.166666666666667,0.25,1.6944444444444446,0.25
09/08/2020,Alabama,5.0,0.2,2.933333333333333,3.6
09/09/2020,Alabama,13.4,1.2,7.133333333333333,6.8
09/10/2020,Alabama,9.6,3.2,5.333333333333333,3.2
09/11/2020,Alabama,4.6,3.0,3.733333333333333,3.0
09/12/2020,Alabama,20.833333333333332,1.4,9.277777777777777,1.4
09/13/2020,Alabama,19.166666666666668,1.2,7.955555555555556,3.5
09/14/2020,Alabama,11.2,3.8333333333333335,7.233333333333333,6.666666666666667
09/15/2020,Alabama,3.4,0.3333333333333333,1.9111111111111112,0.3333333333333333
09/16/2020,Alabama,8.666666666666666,3.3333333333333335,5.3999999999999995,3.3333333333333335
09/17/2020,Alabama,13.166666666666666,0.0,6.122222222222223,0.0
09/18/2020,Alabama,4.666666666666667,0.25,2.772222222222222,0.25
09/19/2020,Alabama,6.6,1.5,3.283333333333333,1.75
09/20/2020,Alabama,17.666666666666668,1.5,7.255555555555556,2.6
09/21/2020,Alabama,3.2,1.3333333333333333,2.1777777777777776,3.2
09/22/2020,Alabama,2.3333333333333335,0.5,1.3444444444444443,1.2
09/23/2020,Alabama,5.166666666666667,1.0,3.055555555555556,3.0
09/24/2020,Alabama,3.4,0.5,1.7666666666666666,1.4
09/25/2020,Alabama,10.166666666666666,0.0,3.4555555555555553,0.2
09/26/2020,Alabama,4.166666666666667,0.0,2.588888888888889,3.6
09/27/2020,Alabama,5.666666666666667,0.4,2.188888888888889,0.4
09/28/2020,Alabama,4.75,0.2,2.9277777777777776,0.2
09/29/2020,Alabama,7.2,0.2,2.744444444444445,0.2
09/30/2020,Alabama,5.666666666666667,0.2,2.2222222222222223,0.2
10/01/2020,Alabama,9.333333333333334,0.8,3.6444444444444453,0.8
10/02/2020,Alabama,4.166666666666667,2.0,3.055555555555556,2.0
10/03/2020,Alabama,5.833333333333333,0.8,4.144444444444445,5.8
10/04/2020,Alabama,5.0,3.1666666666666665,3.8555555555555556,5.0
10/05/2020,Alabama,6.2,3.6,4.933333333333333,6.2
10/06/2020,Alabama,12.8,0.16666666666666666,5.922222222222222,12.8
10/07/2020,Alabama,9.0,3.1666666666666665,5.588888888888889,4.6
10/08/2020,Alabama,14.8,2.4,7.333333333333333,4.8
10/09/2020,Alabama,4.4,0.4,2.533333333333333,2.8
10/10/2020,Alabama,4.0,0.0,1.8,4.0
10/11/2020,Alabama,10.4,0.2,4.2,0.2
10/12/2020,Alabama,6.0,0.2,2.288888888888889,0.2
10/13/2020,Alabama,11.166666666666666,1.2,6.522222222222222,1.2
10/14/2020,Alabama,11.0,1.0,5.611111111111111,11.0
10/15/2020,Alabama,4.2,0.8,2.0,0.8
10/16/2020,Alabama,8.8,1.1666666666666667,4.122222222222223,2.4
10/17/2020,Alabama,8.8,5.333333333333333,6.711111111111111,6.0
10/18/2020,Alabama,6.333333333333333,1.6,4.311111111111111,1.6
10/19/2020,Alabama,2.4,0.4,1.1555555555555557,0.4
10/20/2020,Alabama,5.0,2.4,3.8000000000000003,2.4
10/21/2020,Alabama,6.0,1.5,3.5,6.0
10/22/2020,Alabama,11.4,5.4,8.655555555555557,5.4
10/23/2020,Alabama,8.5,1.8,5.233333333333333,1.8
10/24/2020,Alabama,7.5,1.0,4.777777777777778,1.0
10/25/2020,Alabama,1.6,0.0,0.8666666666666667,1.6
10/26/2020,Alabama,4.8,2.8333333333333335,3.766666666666666,4.8
10/27/2020,Alabama,6.833333333333333,2.3333333333333335,3.8555555555555556,2.4
10/28/2020,Alabama,5.166666666666667,3.2,4.233333333333333,3.2
10/29/2020,Alabama,13.166666666666666,0.5,5.888888888888888,0.5
10/30/2020,Alabama,6.0,0.16666666666666666,2.3222222222222224,0.8
10/31/2020,Alabama,5.166666666666667,2.1666666666666665,3.6444444444444444,3.6
11/01/2020,Alabama,1.8333333333333333,0.8,1.2666666666666666,0.8
11/02/2020,Alabama,3.5,1.5,2.6,2.8
11/03/2020,Alabama,7.833333333333333,2.1666666666666665,5.133333333333334,5.4
11/05/2020,Alabama,4.333333333333333,0.16666666666666666,2.6999999999999997,3.6
11/06/2020,Alabama,8.666666666666666,3.1666666666666665,5.677777777777778,5.2
11/07/2020,Alabama,2.3333333333333335,1.2,1.6222222222222225,1.2
11/08/2020,Alabama,8.8,0.3333333333333333,4.1000000000000005,8.8
11/09/2020,Alabama,10.8,2.0,6.6000000000000005,10.8
11/10/2020,Alabama,4.0,2.0,3.1666666666666665,4.0
11/11/2020,Alabama,9.0,1.2,4.011111111111111,1.2
11/12/2020,Alabama,1.1666666666666667,0.6666666666666666,0.9444444444444445,1.0
11/13/2020,Alabama,3.0,1.4,2.4111111111111114,3.0
11/14/2020,Alabama,4.5,2.2,3.366666666666667,3.4
11/15/2020,Alabama,4.0,2.2,2.9,2.2
11/16/2020,Alabama,6.0,1.0,3.1999999999999997,2.6
11/17/2020,Alabama,4.166666666666667,1.8,3.1,1.8
11/18/2020,Alabama,9.833333333333334,3.0,5.4444444444444455,3.0
11/19/2020,Alabama,8.0,4.0,5.888888888888889,8.0
11/20/2020,Alabama,7.4,5.333333333333333,6.044444444444444,5.4
11/21/2020,Alabama,3.5,3.0,3.3000000000000003,3.0
11/22/2020,Alabama,4.8,1.0,3.1999999999999997,3.8
11/23/2020,Alabama,8.5,1.2,3.6999999999999997,1.4
11/24/2020,Alabama,4.0,1.8,2.733333333333334,2.4
11/25/2020,Alabama,1.8333333333333333,0.6,1.011111111111111,0.6
11/26/2020,Alabama,7.4,1.6,3.777777777777778,1.6
11/27/2020,Alabama,6.666666666666667,2.4,5.2444444444444445,2.4
11/28/2020,Alabama,8.333333333333334,0.4,5.466666666666666,0.4
11/29/2020,Alabama,12.333333333333334,2.5,5.877777777777777,2.8
11/30/2020,Alabama,4.5,0.0,1.5555555555555556,0.0
12/01/2020,Alabama,6.5,0.0,2.6666666666666665,1.5
12/02/2020,Alabama,5.0,2.8333333333333335,4.166666666666667,5.0
12/03/2020,Alabama,6.0,2.5,4.166666666666667,2.5
12/04/2020,Alabama,7.0,0.5,4.5,0.5
12/05/2020,Alabama,12.666666666666666,1.0,7.48888888888889,1.0
12/06/2020,Alabama,8.8,1.5,4.822222222222223,1.5
12/07/2020,Alabama,6.666666666666667,0.0,2.6222222222222222,0.0
12/08/2020,Alabama,2.0,0.2,0.9,0.5
12/09/2020,Alabama,4.6,0.16666666666666666,2.422222222222222,2.5
12/10/2020,Alabama,6.0,0.8333333333333334,2.9444444444444446,2.0
12/11/2020,Alabama,9.333333333333334,2.2,5.344444444444445,4.5
12/12/2020,Alabama,20.333333333333332,1.0,7.944444444444444,1.0
12/13/2020,Alabama,6.6,0.5,2.5888888888888886,0.5
12/14/2020,Alabama,4.5,0.0,1.5666666666666667,0.0
12/17/2020,Alabama,3.8,0.0,1.711111111111111,0.0
12/18/2020,Alabama,9.4,2.6666666666666665,6.022222222222222,6.0
12/19/2020,Alabama,5.333333333333333,1.0,2.711111111111111,1.0
12/20/2020,Alabama,6.6,0.0,4.333333333333333,0.0
12/21/2020,Alabama,7.25,0.5,4.383333333333334,0.5
12/22/2020,Alabama,3.5,0.2,1.9000000000000001,2.0
12/23/2020,Alabama,5.4,0.4,2.766666666666667,2.5
12/24/2020,Alabama,5.5,0.5,3.8000000000000003,0.5
12/25/2020,Alabama,1.75,0.0,0.7166666666666667,0.0
12/26/2020,Alabama,26.5,0.4,9.299999999999999,1.0
12/27/2020,Alabama,21.25,0.2,8.15,3.0
12/28/2020,Alabama,3.2,0.0,1.4000000000000001,1.0
12/29/2020,Alabama,5.2,1.0,2.8666666666666667,1.0
12/30/2020,Alabama,6.6,1.0,3.0,1.0
12/31/2020,Alabama,3.6,0.0,1.3666666666666665,0.5
03/25/2020,Alabama,9.166666666666666,1.25,6.138888888888888,1.25
04/15/2020,Alabama,8.666666666666666,2.0,5.5555555555555545,2.0
05/06/2020,Alabama,14.5,2.0,9.166666666666666,2.0
06/10/2020,Alabama,4.0,0.6666666666666666,1.8888888888888886,1.0
08/28/2020,Alabama,2.6666666666666665,1.0,2.0555555555555554,1.0
08/29/2020,Alabama,7.833333333333333,0.0,4.166666666666667,0.0
08/30/2020,Alabama,15.833333333333334,0.0,5.611111111111112,0.0
08/31/2020,Alabama,11.666666666666666,0.0,4.0,0.0
09/01/2020,Alabama,5.833333333333333,0.0,3.7777777777777772,0.0
09/02/2020,Alabama,11.166666666666666,0.0,5.5555555555555545,0.0
09/03/2020,Alabama,15.666666666666666,0.0,8.666666666666666,0.0
09/04/2020,Alabama,11.4,1.5,5.633333333333333,1.5
09/05/2020,Alabama,11.75,0.0,5.916666666666667,11.75
09/06/2020,Alabama,14.75,0.0,6.116666666666667,14.75
09/07/2020,Alabama,3.5,1.6,2.5666666666666664,3.5
11/04/2020,Alabama,16.0,2.3333333333333335,6.888888888888888,16.0
12/15/2020,Alabama,5.2,0.0,2.066666666666667,0.0
12/16/2020,Alabama,6.2,0.0,2.2333333333333334,0.0
01/01/2020,Alaska,30.0,6.0,18.333333333333332,6.0
01/02/2020,Alaska,24.0,13.0,16.666666666666668,13.0
01/03/2020,Alaska,37.0,10.0,25.333333333333332,29.0
01/04/2020,Alaska,30.0,19.0,26.0,29.0
01/05/2020,Alaska,37.0,27.0,31.0,27.0
01/06/2020,Alaska,33.0,24.0,28.666666666666668,24.0
01/07/2020,Alaska,41.0,27.0,34.666666666666664,27.0
01/08/2020,Alaska,40.0,29.0,33.0,29.0
01/16/2020,Alaska,57.0,33.0,42.0,33.0
01/17/2020,Alaska,39.0,23.0,33.0,37.0
01/18/2020,Alaska,23.0,21.0,14.666666666666666,23.0
01/19/2020,Alaska,34.0,11.0,15.0,34.0
01/20/2020,Alaska,36.0,4.0,13.333333333333334,36.0
01/21/2020,Alaska,20.0,13.0,11.0,13.0
01/22/2020,Alaska,19.0,14.0,11.0,19.0
01/23/2020,Alaska,20.0,7.0,15.666666666666666,20.0
01/24/2020,Alaska,27.0,7.0,14.333333333333334,7.0
01/25/2020,Alaska,36.0,21.0,26.666666666666668,36.0
01/26/2020,Alaska,49.0,20.0,32.666666666666664,49.0
01/27/2020,Alaska,34.0,23.0,30.0,23.0
01/28/2020,Alaska,37.0,27.0,31.333333333333332,27.0
01/29/2020,Alaska,40.0,19.0,27.333333333333332,19.0
01/30/2020,Alaska,43.0,7.0,26.333333333333332,7.0
01/31/2020,Alaska,37.0,7.0,26.666666666666668,7.0
02/01/2020,Alaska,39.0,14.0,29.0,14.0
02/02/2020,Alaska,49.0,31.0,41.0,43.0
02/03/2020,Alaska,60.0,27.0,38.666666666666664,29.0
02/04/2020,Alaska,46.0,13.0,28.666666666666668,27.0
02/05/2020,Alaska,47.0,20.0,29.0,20.0
02/06/2020,Alaska,31.0,19.0,24.666666666666668,19.0
02/07/2020,Alaska,46.0,9.0,27.333333333333332,9.0
02/08/2020,Alaska,41.0,16.0,26.0,16.0
02/09/2020,Alaska,46.0,13.0,27.333333333333332,13.0
02/10/2020,Alaska,60.0,9.0,32.0,9.0
02/11/2020,Alaska,52.0,16.0,30.666666666666668,24.0
02/12/2020,Alaska,27.0,10.0,20.333333333333332,24.0
